Restaurants,Locations
Basil With A Twist - T. Nagar,"58-A, Habibullah Road, T. Nagar, Chennai "
Sunset Grill - Velachery,"The Westin, 154, Velachery Main Road, Velachery, Chennai "
Kaidi Kitchen,"20/3, Bishop Wallers Avenue, Mylapore, Chennai "
Haunted,"F-13, 2nd Main Road, Block F, Annanagar East, Chennai "
The RainForest,"41 & 42, 1st Main Road, Gandhi Nagar, Adyar "
The Waterfall Restaurant,"18, L.V Prasad Road, Dhanalakshmi Colony, Vadapalani "
Rasoee,"Harleys Road, Kilpauk, Chennai "
Kailash Kitchen,"Perinbavilas Complex, Opposite Chitra Apartments, Choolaimedu "
Madras Pavilion - ITC Grand Chola,"ITC Grand Chola, 63, Mount Road, Guindy, Chennai "
10. The Flying Elephant - Park Hyatt,"Park Hyatt, 39, Velachery Road, Guindy, Chennai "
11. Badal Da Punjabi Dhaba,"114/9, Poonamallee High Road, Opposite Hotel Abu Palace, Egmore "
12. Murugan Idli,"129/28, 100 Feet Road, Velachery, Chennai "
13. Ratna Café,"255, Triplicane High Road, Triplican "
14. Sera - The Tapas Bar,"71, Cathedral Road, Gopalapuram, Chennai "
